ID_Encuestado,Pais,Ronda,Genero,Anio_Nacimiento,Nivel_Educativo,Situacion_Economica,Voluntariado_12m,Donacion_Politica_12m,Capacidad_Rol_Politico,Confianza_ONU,Preocupacion_Clima,Responsabilidad_Clima,Inmigracion_Economia,Inmigracion_Cultura,Inmigracion_Pais_Mejor_Peor
3684.0,AT,9,Mujer,1969.0,Grado/BA,Saliendo adelante,,,Bastante capaz,5,,,6,6,5
3730.0,AT,9,Mujer,1932.0,Secundaria baja,Cómodamente,,,Nada capaz,4,,,0,1,5
3734.0,AT,9,Hombre,1995.0,Secundaria baja,Difícil,,,Nada capaz,4,,,6,5,4
3773.0,AT,9,Hombre,1950.0,Secundaria alta (baja),Difícil,,,Muy capaz,3,,,8,5,5
3814.0,AT,9,Hombre,1952.0,Vocacional avanzado,Cómodamente,,,Bastante capaz,6,,,7,5,6
3838.0,AT,9,Mujer,1949.0,Secundaria alta (alta),Cómodamente,,,Nada capaz,5,,,5,8,5
3851.0,AT,9,Hombre,1977.0,Secundaria alta (baja),Cómodamente,,,Poco capaz,1,,,1,1,1
3893.0,AT,9,Hombre,2000.0,Secundaria baja,Saliendo adelante,,,Muy capaz,4,,,4,3,3
3917.0,AT,9,Mujer,1933.0,Secundaria baja,Cómodamente,,,Poco capaz,2,,,6,5,5
3949.0,AT,9,Hombre,1997.0,Secundaria alta (alta),Saliendo adelante,,,Poco capaz,8,,,8,8,5
4018.0,AT,9,Hombre,1943.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,2,,,3,3,4
4068.0,AT,9,Mujer,1967.0,Secundaria alta (baja),Saliendo adelante,,,Completamente capaz,5,,,5,3,4
4081.0,AT,9,Mujer,1970.0,Máster/Doctorado,Cómodamente,,,Muy capaz,8,,,9,9,8
4112.0,AT,9,Mujer,1947.0,Secundaria baja,Saliendo adelante,,,Poco capaz,0,,,3,2,8
4180.0,AT,9,Mujer,1941.0,Vocacional avanzado,Saliendo adelante,,,Muy capaz,3,,,7,7,5
4199.0,AT,9,Hombre,1978.0,Secundaria alta (alta),Cómodamente,,,Bastante capaz,8,,,10,10,10
4211.0,AT,9,Hombre,1985.0,Secundaria alta (baja),Cómodamente,,,Bastante capaz,5,,,4,6,5
4249.0,AT,9,Hombre,1959.0,Secundaria alta (alta),Muy difícil,,,Nada capaz,0,,,7,5,6
4268.0,AT,9,Hombre,1972.0,Secundaria alta (baja),Cómodamente,,,Bastante capaz,3,,,4,2,1
4283.0,AT,9,Mujer,1940.0,Máster/Doctorado,Cómodamente,,,Nada capaz,10,,,7,3,3
4347.0,AT,9,Mujer,1992.0,Vocacional avanzado,Cómodamente,,,Poco capaz,8,,,2,2,3
4366.0,AT,9,Mujer,1978.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,2,,,6,0,0
4376.0,AT,9,Hombre,1971.0,Primaria o menos,Cómodamente,,,Poco capaz,1,,,6,9,6
4429.0,AT,9,Mujer,1984.0,Máster/Doctorado,Saliendo adelante,,,Poco capaz,3,,,3,2,3
4431.0,AT,9,Mujer,1953.0,Grado/BA,Cómodamente,,,Poco capaz,7,,,10,10,8
4519.0,AT,9,Hombre,1970.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,,,,5,,3
4529.0,AT,9,Mujer,1960.0,Secundaria alta (baja),Cómodamente,,,Bastante capaz,8,,,6,8,6
4532.0,AT,9,Hombre,1980.0,Secundaria alta (alta),Cómodamente,,,Bastante capaz,4,,,1,1,2
4558.0,AT,9,Hombre,2001.0,Secundaria baja,Cómodamente,,,Poco capaz,2,,,6,8,5
4565.0,AT,9,Mujer,1994.0,Vocacional avanzado,Saliendo adelante,,,Nada capaz,4,,,5,3,5
4592.0,AT,9,Mujer,1990.0,Secundaria alta (baja),Difícil,,,Bastante capaz,4,,,6,2,4
4608.0,AT,9,Mujer,1931.0,Secundaria baja,Saliendo adelante,,,Poco capaz,6,,,4,5,5
4620.0,AT,9,Mujer,1958.0,Secundaria alta (baja),Difícil,,,Poco capaz,7,,,6,4,2
4628.0,AT,9,Mujer,1939.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,0,,,4,5,4
4639.0,AT,9,Hombre,1968.0,Máster/Doctorado,Saliendo adelante,,,Bastante capaz,10,,,7,7,5
4678.0,AT,9,Mujer,1957.0,Vocacional avanzado,Saliendo adelante,,,Bastante capaz,7,,,7,6,5
4702.0,AT,9,Hombre,1936.0,Secundaria baja,Saliendo adelante,,,Poco capaz,7,,,8,5,5
4774.0,AT,9,Hombre,1953.0,Secundaria alta (baja),Difícil,,,Nada capaz,5,,,5,3,3
4776.0,AT,9,Hombre,1988.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,0,,,0,0,0
4827.0,AT,9,Hombre,1963.0,Vocacional avanzado,Saliendo adelante,,,Poco capaz,10,,,5,8,5
4932.0,AT,9,Hombre,1962.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,5,,,2,2,2
4966.0,AT,9,Mujer,1984.0,Vocacional avanzado,Saliendo adelante,,,Poco capaz,3,,,5,,4
5009.0,AT,9,Hombre,1984.0,Máster/Doctorado,Saliendo adelante,,,Poco capaz,8,,,5,8,8
5037.0,AT,9,Mujer,1972.0,Máster/Doctorado,Cómodamente,,,Muy capaz,8,,,9,6,5
5042.0,AT,9,Mujer,1991.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,5,,,8,7,7
5065.0,AT,9,Mujer,1988.0,Secundaria alta (baja),Difícil,,,Nada capaz,,,,,,0
5073.0,AT,9,Hombre,1962.0,Secundaria alta (baja),Cómodamente,,,Bastante capaz,8,,,8,6,6
5077.0,AT,9,Mujer,1973.0,Secundaria baja,Saliendo adelante,,,Nada capaz,,,,6,3,3
5110.0,AT,9,Mujer,1976.0,Secundaria alta (alta),Saliendo adelante,,,Poco capaz,6,,,6,4,3
5145.0,AT,9,Mujer,1928.0,Secundaria baja,Cómodamente,,,Nada capaz,7,,,4,1,1
5152.0,AT,9,Mujer,1940.0,Secundaria baja,Saliendo adelante,,,Nada capaz,8,,,5,5,
5179.0,AT,9,Hombre,1991.0,Secundaria alta (baja),Cómodamente,,,Nada capaz,6,,,4,2,4
5189.0,AT,9,Mujer,1941.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,5,,,7,6,5
5202.0,AT,9,Hombre,1951.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,7,,,7,7,6
5213.0,AT,9,Mujer,1956.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,0,,,3,1,4
5234.0,AT,9,Hombre,1952.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,2,,,6,4,5
5322.0,AT,9,Mujer,1951.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,6,,,7,7,6
5326.0,AT,9,Mujer,1982.0,Vocacional avanzado,Saliendo adelante,,,Poco capaz,7,,,6,8,5
5337.0,AT,9,Hombre,1969.0,Secundaria alta (alta),Cómodamente,,,Muy capaz,8,,,8,8,8
5344.0,AT,9,Mujer,1966.0,Vocacional avanzado,Saliendo adelante,,,Poco capaz,,,,6,3,3
5372.0,AT,9,Mujer,2002.0,Secundaria baja,Cómodamente,,,Nada capaz,5,,,5,4,5
5418.0,AT,9,Hombre,1963.0,Vocacional avanzado,Saliendo adelante,,,Muy capaz,2,,,5,7,8
5559.0,AT,9,Mujer,1944.0,Secundaria baja,Saliendo adelante,,,Nada capaz,5,,,4,3,3
5571.0,AT,9,Hombre,1980.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,2,,,6,5,5
5574.0,AT,9,Mujer,1974.0,Secundaria alta (baja),Saliendo adelante,,,,5,,,5,7,4
5621.0,AT,9,Mujer,1935.0,Secundaria baja,Saliendo adelante,,,Nada capaz,0,,,6,7,6
5633.0,AT,9,Mujer,1952.0,Vocacional avanzado,Difícil,,,Nada capaz,,,,3,2,1
5650.0,AT,9,Mujer,1960.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,3,,,7,5,5
5663.0,AT,9,Mujer,1947.0,Secundaria baja,Cómodamente,,,Poco capaz,3,,,4,8,3
5670.0,AT,9,Mujer,1979.0,Secundaria alta (baja),Difícil,,,Poco capaz,6,,,6,4,3
5689.0,AT,9,Hombre,1977.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,9,,,1,0,0
5703.0,AT,9,Mujer,1959.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,4,,,5,5,5
5762.0,AT,9,Hombre,1998.0,Secundaria alta (alta),Cómodamente,,,Nada capaz,8,,,0,7,5
5826.0,AT,9,Mujer,1947.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,,,,3,3,0
5846.0,AT,9,Mujer,1980.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,6,,,6,4,2
5874.0,AT,9,Mujer,1994.0,Secundaria alta (baja),Saliendo adelante,,,Completamente capaz,6,,,10,10,10
5882.0,AT,9,Hombre,1945.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,0,,,6,5,6
5895.0,AT,9,Hombre,1952.0,Máster/Doctorado,Saliendo adelante,,,Bastante capaz,7,,,8,9,7
5915.0,AT,9,Mujer,1993.0,Grado/BA,Saliendo adelante,,,Completamente capaz,3,,,7,7,5
5925.0,AT,9,Hombre,1995.0,Secundaria baja,Difícil,,,Nada capaz,4,,,6,4,4
6014.0,AT,9,Hombre,1948.0,Máster/Doctorado,Difícil,,,Poco capaz,6,,,8,8,5
6146.0,AT,9,Mujer,1950.0,Secundaria alta (baja),Cómodamente,,,Bastante capaz,2,,,4,4,4
6174.0,AT,9,Hombre,1954.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,2,,,5,4,4
6196.0,AT,9,Mujer,1960.0,Máster/Doctorado,Cómodamente,,,Muy capaz,6,,,10,10,10
6198.0,AT,9,Mujer,1963.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,4,,,7,8,8
6203.0,AT,9,Mujer,1957.0,Secundaria alta (baja),Difícil,,,Poco capaz,5,,,6,3,2
6211.0,AT,9,Mujer,1970.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,8,,,10,7,7
6252.0,AT,9,Mujer,1977.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,5,,,3,3,1
6256.0,AT,9,Mujer,1958.0,Vocacional avanzado,Cómodamente,,,Bastante capaz,7,,,6,6,5
6286.0,AT,9,Hombre,1948.0,Secundaria baja,Cómodamente,,,Nada capaz,4,,,5,3,3
6314.0,AT,9,Mujer,2000.0,Secundaria baja,Muy difícil,,,Bastante capaz,7,,,8,8,5
